student,question,qDetail,answer
1,1a,Your school’s name ,Springfield Central High School
1,1b,Your grade level,11
1,2,How would you rate this field trip on a scale from 0 to 10? ,10
1,3a,Write three words or short phrases below that best describe how the program made you feel.,smart
1,3b,Write three words or short phrases below that best describe how the program made you feel.,investers
1,3c,Write three words or short phrases below that best describe how the program made you feel.,happy
1,4a,"As a result of this field trip, do you intend to do anything differently in your life",yes
1,4b,"If yes, what will you do?",Be more careful with outdoor things
1,5,"How much do you feel you learned from this field trip, on a scale from 0 to 10?",8
1,6a,I believe in myself.,10
1,6b,I feel it is important to take good care of the environment.,10
1,6c,"Humans are a part of nature, not separate from it.",10
1,6d,I have the power to protect the environment.,10
1,6e,I  feel  confident  that  I  can  achieve  my  goals.  ,10
1,6f,I can make a difference in my community.,10
1,7a,How different parts of the environment interact with each other.,8
1,7b,How people can change the environment.,8
1,7c,How changes in the environment can impact my life.,8
1,7d,How my actions affect the environment.,8
1,8a,Science.,7
1,8b,How to research things I am curious about.,8
1,8c,Learning about new subjects in school.,8
1,8d,Learning more about nature.,8
1,9a,Solving problems,9
1,9b,Using science to answer a question,7
1,9c,Listening to other people’s points of view,9
1,9d,Knowing how to do research,9
1,10a,Taught me something that will be useful to me in my future.,9
1,10b,Made me curious about something.,9
1,10c,Really made me think.,9
1,10d,Made me realize something I never imagined before.,9
1,10e,Made me think differently about the choices I make in my life.,9
1,11a,Help to protect the environment.,9
1,11b,Spend more time outside.,9
1,11c,Make a positive difference in my community.,9
1,11d,Listen more to other people's points of view.,9
1,11e,Talk with others about ways to protect the environment.,9
1,11f,Cooperate more with my classmates.,9
1,11g,Work harder in school.,9
1,11h,Pay more attention in class.,9
1,12a,I want to visit this place again.,8
1,12b,Knowing this place exists makes me feel good.,8
1,12c,I care about this place.,8
1,13,Are you a girl or a boy?,Girl
1,14,Which of the following best describes your racial or ethnic background?,Hispanic
2,1a,Your school’s name ,Springfield Central High School
2,1b,Your grade level,11
2,2,How would you rate this field trip on a scale from 0 to 10? ,10
2,3a,Write three words or short phrases below that best describe how the program made you feel.,good
2,3b,Write three words or short phrases below that best describe how the program made you feel.,calm
2,3c,Write three words or short phrases below that best describe how the program made you feel.,peaceful and quiet
2,4a,"As a result of this field trip, do you intend to do anything differently in your life",yes
2,4b,"If yes, what will you do?",go outside more often
2,5,"How much do you feel you learned from this field trip, on a scale from 0 to 10?",9
2,6a,I believe in myself.,7
2,6b,I feel it is important to take good care of the environment.,6
2,6c,"Humans are a part of nature, not separate from it.",4
2,6d,I have the power to protect the environment.,NA
2,6e,I  feel  confident  that  I  can  achieve  my  goals.  ,NA
2,6f,I can make a difference in my community.,3
2,7a,How different parts of the environment interact with each other.,4
2,7b,How people can change the environment.,10
2,7c,How changes in the environment can impact my life.,10
2,7d,How my actions affect the environment.,10
2,8a,Science.,2
2,8b,How to research things I am curious about.,3
2,8c,Learning about new subjects in school.,9
2,8d,Learning more about nature.,5
2,9a,Solving problems,5
2,9b,Using science to answer a question,3
2,9c,Listening to other people’s points of view,5
2,9d,Knowing how to do research,2
2,10a,Taught me something that will be useful to me in my future.,10
2,10b,Made me curious about something.,10
2,10c,Really made me think.,10
2,10d,Made me realize something I never imagined before.,10
2,10e,Made me think differently about the choices I make in my life.,10
2,11a,Help to protect the environment.,5
2,11b,Spend more time outside.,10
2,11c,Make a positive difference in my community.,5
2,11d,Listen more to other people's points of view.,10
2,11e,Talk with others about ways to protect the environment.,10
2,11f,Cooperate more with my classmates.,10
2,11g,Work harder in school.,10
2,11h,Pay more attention in class.,10
2,12a,I want to visit this place again.,10
2,12b,Knowing this place exists makes me feel good.,10
2,12c,I care about this place.,10
2,13,Are you a girl or a boy?,Boy
2,14,Which of the following best describes your racial or ethnic background?,Other: Jamaican
3,1a,Your school’s name ,Springfield Central High School
3,1b,Your grade level,11
3,2,How would you rate this field trip on a scale from 0 to 10? ,10
3,3a,Write three words or short phrases below that best describe how the program made you feel.,happy
3,3b,Write three words or short phrases below that best describe how the program made you feel.,excited
3,3c,Write three words or short phrases below that best describe how the program made you feel.,curious
3,4a,"As a result of this field trip, do you intend to do anything differently in your life",no
3,4b,"If yes, what will you do?",NA
3,5,"How much do you feel you learned from this field trip, on a scale from 0 to 10?",8
3,6a,I believe in myself.,10
3,6b,I feel it is important to take good care of the environment.,10
3,6c,"Humans are a part of nature, not separate from it.",10
3,6d,I have the power to protect the environment.,10
3,6e,I  feel  confident  that  I  can  achieve  my  goals.  ,10
3,6f,I can make a difference in my community.,10
3,7a,How different parts of the environment interact with each other.,7
3,7b,How people can change the environment.,10
3,7c,How changes in the environment can impact my life.,10
3,7d,How my actions affect the environment.,10
3,8a,Science.,10
3,8b,How to research things I am curious about.,10
3,8c,Learning about new subjects in school.,10
3,8d,Learning more about nature.,10
3,9a,Solving problems,9
3,9b,Using science to answer a question,7
3,9c,Listening to other people’s points of view,10
3,9d,Knowing how to do research,10
3,10a,Taught me something that will be useful to me in my future.,10
3,10b,Made me curious about something.,10
3,10c,Really made me think.,10
3,10d,Made me realize something I never imagined before.,10
3,10e,Made me think differently about the choices I make in my life.,10
3,11a,Help to protect the environment.,10
3,11b,Spend more time outside.,10
3,11c,Make a positive difference in my community.,10
3,11d,Listen more to other people's points of view.,10
3,11e,Talk with others about ways to protect the environment.,10
3,11f,Cooperate more with my classmates.,10
3,11g,Work harder in school.,10
3,11h,Pay more attention in class.,10
3,12a,I want to visit this place again.,10
3,12b,Knowing this place exists makes me feel good.,10
3,12c,I care about this place.,10
3,13,Are you a girl or a boy?,Boy
3,14,Which of the following best describes your racial or ethnic background?,Hispanic
4,1a,Your school’s name ,Van Sickle Academy
4,1b,Your grade level,6
4,2,How would you rate this field trip on a scale from 0 to 10? ,6
4,3a,Write three words or short phrases below that best describe how the program made you feel.,happy
4,3b,Write three words or short phrases below that best describe how the program made you feel.,smarter
4,3c,Write three words or short phrases below that best describe how the program made you feel.,NA
4,4a,"As a result of this field trip, do you intend to do anything differently in your life",yes
4,4b,"If yes, what will you do?",I will make a birdhouse in my backyard
4,5,"How much do you feel you learned from this field trip, on a scale from 0 to 10?",7
4,6a,I believe in myself.,10
4,6b,I feel it is important to take good care of the environment.,8
4,6c,"Humans are a part of nature, not separate from it.",9
4,6d,I have the power to protect the environment.,9
4,6e,I  feel  confident  that  I  can  achieve  my  goals.  ,9
4,6f,I can make a difference in my community.,10
4,7a,How different parts of the environment interact with each other.,5
4,7b,How people can change the environment.,8
4,7c,How changes in the environment can impact my life.,8
4,7d,How my actions affect the environment.,8
4,8a,Science.,6
4,8b,How to research things I am curious about.,6
4,8c,Learning about new subjects in school.,7
4,8d,Learning more about nature.,7
4,9a,Solving problems,8
4,9b,Using science to answer a question,7
4,9c,Listening to other people’s points of view,7
4,9d,Knowing how to do research,10
4,10a,Taught me something that will be useful to me in my future.,6
4,10b,Made me curious about something.,NA
4,10c,Really made me think.,4
4,10d,Made me realize something I never imagined before.,1
4,10e,Made me think differently about the choices I make in my life.,NA
4,11a,Help to protect the environment.,4
4,11b,Spend more time outside.,5
4,11c,Make a positive difference in my community.,6
4,11d,Listen more to other people's points of view.,NA
4,11e,Talk with others about ways to protect the environment.,3
4,11f,Cooperate more with my classmates.,7
4,11g,Work harder in school.,6
4,11h,Pay more attention in class.,6
4,12a,I want to visit this place again.,10
4,12b,Knowing this place exists makes me feel good.,10
4,12c,I care about this place.,10
4,13,Are you a girl or a boy?,Boy
4,14,Which of the following best describes your racial or ethnic background?,Other: Puerto Rican
5,1a,Your school’s name ,Van Sickle Academy
5,1b,Your grade level,6
5,2,How would you rate this field trip on a scale from 0 to 10? ,1
5,3a,Write three words or short phrases below that best describe how the program made you feel.,hungry
5,3b,Write three words or short phrases below that best describe how the program made you feel.,tired
5,3c,Write three words or short phrases below that best describe how the program made you feel.,annoyed
5,4a,"As a result of this field trip, do you intend to do anything differently in your life",no
5,4b,"If yes, what will you do?",NA
5,5,"How much do you feel you learned from this field trip, on a scale from 0 to 10?",1
5,6a,I believe in myself.,5
5,6b,I feel it is important to take good care of the environment.,3
5,6c,"Humans are a part of nature, not separate from it.",5
5,6d,I have the power to protect the environment.,1
5,6e,I  feel  confident  that  I  can  achieve  my  goals.  ,7
5,6f,I can make a difference in my community.,3
5,7a,How different parts of the environment interact with each other.,2
5,7b,How people can change the environment.,2
5,7c,How changes in the environment can impact my life.,2
5,7d,How my actions affect the environment.,2
5,8a,Science.,0
5,8b,How to research things I am curious about.,0
5,8c,Learning about new subjects in school.,0
5,8d,Learning more about nature.,0
5,9a,Solving problems,3
5,9b,Using science to answer a question,1
5,9c,Listening to other people’s points of view,1
5,9d,Knowing how to do research,0
5,10a,Taught me something that will be useful to me in my future.,1
5,10b,Made me curious about something.,1
5,10c,Really made me think.,1
5,10d,Made me realize something I never imagined before.,1
5,10e,Made me think differently about the choices I make in my life.,1
5,11a,Help to protect the environment.,0
5,11b,Spend more time outside.,5
5,11c,Make a positive difference in my community.,1
5,11d,Listen more to other people's points of view.,1
