student,question,qDetail,answer
1,1a,Your school’s name ,Springfield Public Day Middle School
1,1b,Your grade level,7
1,2a,I believe in myself.,7
1,2b,I feel it is important to take good care of the environment.,9
1,2c,"Humans are a part of nature, not separate from it.",na
1,2d,I have the power to protect the environment.,na
1,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,7
1,2f,I can make a difference in my community.,10
1,3a,Science.,8
1,3b,How to research things I am curious about.,9
1,3c,Learning about new subjects in school.,4
1,3d,Learning more about nature.,6
1,4a,Solving problems,9
1,4b,Using science to answer a question,na
1,4c,Listening to other people’s points of view,4
1,4d,Knowing how to do research,6
1,5a,Help to protect the environment.,7
1,5b,Spend more time outside.,9
1,5c,Make a positive difference in my community.,10
1,5d,Listen more to other people's points of view.,4
1,5e,Talk with others about ways to protect the environment.,7
1,5f,Cooperate more with my classmates.,8
1,5g,Work harder in school.,9
1,5h,Pay more attention in class.,4
1,6,Are you a girl or a boy?,Boy
1,7,Which of the following best describes your racial or ethnic background?,Hispanic
2,1a,Your school’s name ,Springfield Public Day Middle School
2,1b,Your grade level,6
2,2a,I believe in myself.,10
2,2b,I feel it is important to take good care of the environment.,10
2,2c,"Humans are a part of nature, not separate from it.",5
2,2d,I have the power to protect the environment.,10
2,2e,I  feel  confident  that  I  can  achieve  my  goals.  ,10
2,2f,I can make a difference in my community.,10
2,3a,Science.,6
2,3b,How to research things I am curious about.,6
2,3c,Learning about new subjects in school.,10
2,3d,Learning more about nature.,10
2,4a,Solving problems,8
2,4b,Using science to answer a question,9
2,4c,Listening to other people’s points of view,8
2,4d,Knowing how to do research,6
2,5a,Help to protect the environment.,10
2,5b,Spend more time outside.,10
2,5c,Make a positive difference in my community.,10
2,5d,Listen more to other people's points of view.,10
2,5e,Talk with others about ways to protect the environment.,10
2,5f,Cooperate more with my classmates.,10
2,5g,Work harder in school.,10
2,5h,Pay more attention in class.,10
2,6,Are you a girl or a boy?,Boy
2,7,Which of the following best describes your racial or ethnic background?,"White, not of Hispanic descent"
3,1a,Your school’s name ,Springfield Public Day Middle School
3,1b,Your grade level,6
3,2a,I believe in myself.,10
3,2b,I feel it is important to take good care of the environment.,10
3,2c,"Humans are a part of nature, not separate from it.",10
3,2d,I have the power to protect the environment.,10
