teacher,question,qDetail,answer
1,1,Today’s date,2018-05-24
1,2,What was the date of your program?,2018-05-22
1,3,What grade do you teach?,9-12
1,4,What is the name of the school where you work?,Springfield Central High School
1,5,Please rate your overall level of satisfaction with the program on a scale from 0 to 10.,9.5
1,6a,Did you do any specific activities in class to prepare for this experience?,yes
1,6b,Please explain below.,"Discussed what ""Ecology of Urban Songbirds"" meant, Students researched 1 article on Urban Songbirds"
1,7a,Did you do any post-trip activities to reinforce the program?,yes
1,7b,Please explain below.,Students designed their yards or made up yard to create ideal songbird habitat
1,8a,This program helped my class meet state curriculum standards.,Strongly agree
1,8b,The program motivated my students to perform better academically,Strongly agree
1,8c,My students learned about the ecology of wildlife in their area.,Strongly agree
1,8d,My students had fun,Strongly agree
1,8e,My students learned about how people influence the world around them,Strongly agree
1,8f,Participating in this program was well worth the effort,Strongly agree
1,8g,The program was age-appropriate for my students.,Strongly agree
1,8h,My students learned how resource availability influences populations in an ecosystem.,Strongly agree
1,9a,How to analyze and interpret data.,A great deal
1,9b,How to use their knowledge to predict patterns of interactions between organisms.,A great deal
1,9c,How to use empirical evidence to construct valid arguments about how changes in ecosystems affect populations.,A moderate amount
1,9d,How to develop ideas for maintaining biodiversity.,A moderate amount
1,10a,Academic performance,A great deal
1,10b,Attitudes toward school.,A great deal
1,10c,Appreciation for the natural environment.,A great deal
1,10d,Appreciation for science.,A great deal
1,10e,Interest in taking actions to conserve or improve the environment.,A great deal
1,10f,Understanding of ecological processes.,A great deal
1,10g,Awareness of environmental issues.,A great deal
1,10h,Ability to work together collaboratively.,A great deal
1,10i,Scientific inquiry skills.,A great deal
1,10j,Interest in learning more about the environment.,A great deal
1,11,"If you have any comments that you would like to share about the program, please use the following space.","Demonstrate how mist net works, Break up classroom lesson (break, video, outside activity, Greate populations activity, Pictures of what good/bad habitat looks like, Excellent hands on experience with chickadee and blue jay, Would like to hear more about teacher's personal stories (urban backgrounds), Teachers handled students well, Any pre-teaching information/activities/prep for students would be great, THANK YOU! Looking forward to next year!"
2,1,Today’s date,2018-05-29
2,2,What was the date of your program?,2018-05-22
2,3,What grade do you teach?,High School
2,4,What is the name of the school where you work?,Springfield Central High School
2,5,Please rate your overall level of satisfaction with the program on a scale from 0 to 10.,9
2,6a,Did you do any specific activities in class to prepare for this experience?,NA
2,6b,Please explain below.,NA
2,7a,Did you do any post-trip activities to reinforce the program?,NA
2,7b,Please explain below.,NA
2,8a,This program helped my class meet state curriculum standards.,Agree
2,8b,The program motivated my students to perform better academically,Agree
2,8c,My students learned about the ecology of wildlife in their area.,Strongly agree
2,8d,My students had fun,"Agree, Strongly agree"
2,8e,My students learned about how people influence the world around them,Agree
2,8f,Participating in this program was well worth the effort,Strongly agree
2,8g,The program was age-appropriate for my students.,Strongly agree
2,8h,My students learned how resource availability influences populations in an ecosystem.,Not sure
2,9a,How to analyze and interpret data.,A moderate amount
2,9b,How to use their knowledge to predict patterns of interactions between organisms.,A moderate amount
2,9c,How to use empirical evidence to construct valid arguments about how changes in ecosystems affect populations.,A moderate amount
2,9d,How to develop ideas for maintaining biodiversity.,A moderate amount
2,10a,Academic performance,A moderate amount
2,10b,Attitudes toward school.,A moderate amount
2,10c,Appreciation for the natural environment.,A great deal
2,10d,Appreciation for science.,A moderate amount
2,10e,Interest in taking actions to conserve or improve the environment.,A great deal
2,10f,Understanding of ecological processes.,A moderate amount
2,10g,Awareness of environmental issues.,A moderate amount
2,10h,Ability to work together collaboratively.,A moderate amount
2,10i,Scientific inquiry skills.,A moderate amount
2,10j,Interest in learning more about the environment.,A great deal
2,11,"If you have any comments that you would like to share about the program, please use the following space.",Excellent program! Content and delivery with hands on activities perfect for our grade level students. Most participated and asked questions.
3,1,Today’s date,2018-05-31
3,2,What was the date of your program?,2018-05-24
3,3,What grade do you teach?,6
3,4,What is the name of the school where you work?,Van Sickle Academy
3,5,Please rate your overall level of satisfaction with the program on a scale from 0 to 10.,8
3,6a,Did you do any specific activities in class to prepare for this experience?,no
3,6b,Please explain below.,NA
3,7a,Did you do any post-trip activities to reinforce the program?,no
3,7b,Please explain below.,NA
3,8a,This program helped my class meet state curriculum standards.,Agree
3,8b,The program motivated my students to perform better academically,Disagree
3,8c,My students learned about the ecology of wildlife in their area.,Agree
3,8d,My students had fun,Disagree
3,8e,My students learned about how people influence the world around them,Agree
3,8f,Participating in this program was well worth the effort,Agree
3,8g,The program was age-appropriate for my students.,Not sure
3,8h,My students learned how resource availability influences populations in an ecosystem.,Agree
3,9a,How to analyze and interpret data.,A little
3,9b,How to use their knowledge to predict patterns of interactions between organisms.,A little
3,9c,How to use empirical evidence to construct valid arguments about how changes in ecosystems affect populations.,A moderate amount
3,9d,How to develop ideas for maintaining biodiversity.,A great deal
3,10a,Academic performance,A little
3,10b,Attitudes toward school.,A moderate amount
3,10c,Appreciation for the natural environment.,A great deal
3,10d,Appreciation for science.,A great deal
3,10e,Interest in taking actions to conserve or improve the environment.,A moderate amount
3,10f,Understanding of ecological processes.,A moderate amount
3,10g,Awareness of environmental issues.,A moderate amount
3,10h,Ability to work together collaboratively.,A great deal
3,10i,Scientific inquiry skills.,A great deal
3,10j,Interest in learning more about the environment.,A great deal
3,11,"If you have any comments that you would like to share about the program, please use the following space.",NA
4,1,Today’s date,2018-05-31
4,2,What was the date of your program?,2018-05-23
4,3,What grade do you teach?,7-ELA
4,4,What is the name of the school where you work?,Van Sickle Academy
4,5,Please rate your overall level of satisfaction with the program on a scale from 0 to 10.,10
4,6a,Did you do any specific activities in class to prepare for this experience?,no
4,6b,Please explain below.,We had very short notice that 7th grade was invited.
4,7a,Did you do any post-trip activities to reinforce the program?,no
4,7b,Please explain below.,NA
4,8a,This program helped my class meet state curriculum standards.,Agree
4,8b,The program motivated my students to perform better academically,Agree
4,8c,My students learned about the ecology of wildlife in their area.,Agree
4,8d,My students had fun,Agree
4,8e,My students learned about how people influence the world around them,Agree
4,8f,Participating in this program was well worth the effort,Agree
4,8g,The program was age-appropriate for my students.,Agree
4,8h,My students learned how resource availability influences populations in an ecosystem.,Agree
4,9a,How to analyze and interpret data.,A moderate amount
4,9b,How to use their knowledge to predict patterns of interactions between organisms.,A moderate amount
4,9c,How to use empirical evidence to construct valid arguments about how changes in ecosystems affect populations.,A moderate amount
4,9d,How to develop ideas for maintaining biodiversity.,A moderate amount
4,10a,Academic performance,A moderate amount
4,10b,Attitudes toward school.,A moderate amount
4,10c,Appreciation for the natural environment.,A moderate amount
4,10d,Appreciation for science.,A moderate amount
4,10e,Interest in taking actions to conserve or improve the environment.,A moderate amount
4,10f,Understanding of ecological processes.,A moderate amount
4,10g,Awareness of environmental issues.,A moderate amount
4,10h,Ability to work together collaboratively.,A moderate amount
4,10i,Scientific inquiry skills.,A moderate amount
4,10j,Interest in learning more about the environment.,A moderate amount
4,11,"If you have any comments that you would like to share about the program, please use the following space.",NA
5,1,Today’s date,2018-05-31
5,2,What was the date of your program?,2018-05-24
5,3,What grade do you teach?,7
5,4,What is the name of the school where you work?,Van Sickle Academy
5,5,Please rate your overall level of satisfaction with the program on a scale from 0 to 10.,10
5,6a,Did you do any specific activities in class to prepare for this experience?,yes
5,6b,Please explain below.,We currently are in an ecology unit
5,7a,Did you do any post-trip activities to reinforce the program?,yes
5,7b,Please explain below.,We are talking about succession in ecosystems. The students are using what they learned from the trip in class. 
5,8a,This program helped my class meet state curriculum standards.,Strongly agree
5,8b,The program motivated my students to perform better academically,Agree
5,8c,My students learned about the ecology of wildlife in their area.,Strongly agree
5,8d,My students had fun,Agree
5,8e,My students learned about how people influence the world around them,Agree
5,8f,Participating in this program was well worth the effort,Agree
5,8g,The program was age-appropriate for my students.,Agree
5,8h,My students learned how resource availability influences populations in an ecosystem.,Agree
5,9a,How to analyze and interpret data.,NA
5,9b,How to use their knowledge to predict patterns of interactions between organisms.,NA
5,9c,How to use empirical evidence to construct valid arguments about how changes in ecosystems affect populations.,NA
5,9d,How to develop ideas for maintaining biodiversity.,NA
5,10a,Academic performance,NA
5,10b,Attitudes toward school.,NA
5,10c,Appreciation for the natural environment.,NA
5,10d,Appreciation for science.,NA
